temperature,precipitation,vent,humidite,condition,activite
1.5,4.1,32.3,81.0,2,Musée / Expo
-0.2,7.7,49.3,75.1,3,Sport en salle
4.7,3.1,14.0,71.9,2,Sport en salle
22.3,0.0,14.2,45.9,0,Barbecue
10.4,2.3,9.5,81.8,1,Balade en ville
3.9,14.3,61.4,74.0,3,Sport en salle
21.9,0.1,16.8,92.1,1,Balade à vélo
0.8,6.9,25.5,83.4,3,Musée / Expo
32.1,6.6,32.2,94.4,3,Cinéma
15.7,0.5,6.0,80.2,1,Randonnée en forêt
25.7,9.5,25.5,83.1,3,Cinéma
23.4,13.4,39.2,76.1,3,Cinéma
16.8,1.8,25.1,90.4,1,Balade en ville
13.3,3.4,19.4,74.3,2,Musée / Expo
15.8,9.0,48.8,87.4,3,Cinéma
26.0,0.0,11.2,33.8,0,Barbecue
14.9,5.7,20.1,83.7,3,Cinéma
12.6,0.5,19.5,84.2,1,Randonnée en forêt
22.5,0.2,12.5,71.9,1,Balade à vélo
23.1,0.0,0.1,42.0,0,Barbecue
20.1,1.3,20.0,94.2,1,Randonnée en forêt
21.5,1.1,19.9,83.7,1,Randonnée en forêt
-2.7,13.5,56.0,91.3,3,Sport en salle
17.2,0.5,16.2,75.5,1,Balade à vélo
11.7,0.3,9.6,92.3,1,Balade en ville
21.5,0.6,21.0,86.9,1,Balade en ville
-1.1,8.2,78.8,86.1,3,Sport en salle
34.8,14.3,21.0,82.7,3,Cinéma
19.8,0.4,18.0,71.8,1,Balade à vélo
-5.0,12.0,69.1,92.5,3,Cinéma
24.0,0.0,1.5,43.8,0,Barbecue
18.4,0.0,7.0,57.3,0,Balade à vélo
17.9,0.8,16.5,89.1,1,Randonnée en forêt
11.3,1.7,8.4,92.6,1,Balade en ville
-0.5,3.9,63.8,88.2,2,Sport en salle
23.5,0.0,2.4,35.2,0,Barbecue
20.3,0.2,10.3,94.9,1,Balade à vélo
11.1,1.4,10.2,85.5,1,Balade en ville
22.3,0.3,8.9,91.9,1,Balade à vélo
15.4,0.6,5.6,78.7,1,Randonnée en forêt
21.6,0.3,12.3,72.9,1,Balade à vélo
11.3,13.3,67.9,77.8,3,Cinéma
-4.8,9.4,65.7,73.7,3,Cinéma
20.8,0.0,15.3,33.9,0,Balade en ville
21.8,1.1,19.4,74.7,1,Randonnée en forêt
10.9,1.7,9.5,84.4,1,Balade en ville
2.8,4.6,71.4,83.7,2,Sport en salle
19.6,1.0,3.9,83.5,1,Randonnée en forêt
14.7,1.3,20.2,92.0,1,Balade en ville
20.9,0.4,1.5,83.3,1,Balade à vélo
13.5,1.2,22.5,85.6,1,Randonnée en forêt
0.3,6.8,26.4,89.8,3,Musée / Expo
18.6,0.4,2.6,93.1,1,Balade en ville
10.7,1.9,23.4,93.5,2,Musée / Expo
17.8,0.3,16.9,88.6,1,Balade à vélo
22.6,0.7,19.5,70.9,1,Balade en ville
19.6,0.2,8.3,90.2,1,Balade à vélo
0.3,7.2,10.5,71.6,3,Musée / Expo
27.7,0.0,13.3,64.3,0,Barbecue
7.6,2.0,20.1,72.9,2,Musée / Expo
30.5,0.0,13.4,31.8,0,Barbecue
